C/A,Unit,SCP,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A002,R051,02-00-00,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,7811029,2770909
A002,R051,02-00-00,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,7811032,2770930
A002,R051,02-00-00,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,7811067,2771080
A002,R051,02-00-00,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,7811217,2771126
A002,R051,02-00-00,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,7811477,2771174
A002,R051,02-00-00,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,7811576,2771206
A002,R051,02-00-01,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,6907603,1632919
A002,R051,02-00-01,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,6907607,1632933
A002,R051,02-00-01,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,6907630,1633000
A002,R051,02-00-01,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,6907758,1633046
A002,R051,02-00-01,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,6907960,1633088
A002,R051,02-00-01,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,6908027,1633115
A002,R051,02-03-00,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,1549825,6021336
A002,R051,02-03-00,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,1549828,6021421
A002,R051,02-03-00,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,1549846,6021886
A002,R051,02-03-00,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,1549901,6022202
A002,R051,02-03-00,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,1550038,6022568
A002,R051,02-03-00,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,1550062,6022627
A002,R051,02-03-01,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,1883066,3118034
A002,R051,02-03-01,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,1883072,3118136
A002,R051,02-03-01,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,1883112,3118597
A002,R051,02-03-01,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,1883228,3118957
A002,R051,02-03-01,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,1883428,3119271
A002,R051,02-03-01,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,1883538,3119495
A002,R051,02-03-02,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,279198,465074
A002,R051,02-03-02,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,279205,465144
A002,R051,02-03-02,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,279261,465440
A002,R051,02-03-02,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,279395,465659
A002,R051,02-03-02,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,279645,465869
A002,R051,02-03-02,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,279758,466014
A002,R051,02-03-03,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,6373159,7308825
A002,R051,02-03-03,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,6373167,7308903
A002,R051,02-03-03,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,6373203,7309149
A002,R051,02-03-03,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,6373284,7309288
A002,R051,02-03-03,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,6373474,7309433
A002,R051,02-03-03,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,6373574,7309512
A002,R051,02-03-04,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,7771023,4082296
A002,R051,02-03-04,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,7771030,4082342
A002,R051,02-03-04,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,7771067,4082450
A002,R051,02-03-04,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,7771182,4082520
A002,R051,02-03-04,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,7771365,4082572
A002,R051,02-03-04,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,7771437,4082600
A002,R051,02-03-05,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,12540851,1525410
A002,R051,02-03-05,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,12540865,1525425
A002,R051,02-03-05,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,12540951,1525465
A002,R051,02-03-05,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,12541097,1525484
A002,R051,02-03-05,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,12541361,1525497
A002,R051,02-03-05,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,12541497,1525505
A002,R051,02-03-06,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,9758245,530743
A002,R051,02-03-06,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,9758252,530747
A002,R051,02-03-06,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,9758315,530760
A002,R051,02-03-06,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,9758419,530768
A002,R051,02-03-06,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,9758610,530780
A002,R051,02-03-06,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,9758680,530786
A002,R051,02-05-00,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,529139,0
A002,R051,02-05-00,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,529139,0
A002,R051,02-05-00,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,529141,0
A002,R051,02-05-00,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,529147,0
A002,R051,02-05-00,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,529155,0
A002,R051,02-05-00,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,529162,0
A002,R051,02-05-01,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,0,1187
A002,R051,02-05-01,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,0,1187
A002,R051,02-05-01,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,0,1187
A002,R051,02-05-01,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,0,1187
A002,R051,02-05-01,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,0,1187
A002,R051,02-05-01,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,0,1187
A002,R051,02-06-00,NQR456W,BMT,12/30/2022,03:00:00,REGULAR,434846,53647
A002,R051,02-06-00,NQR456W,BMT,12/30/2022,07:00:00,REGULAR,434852,53652
A002,R051,02-06-00,NQR456W,BMT,12/30/2022,11:00:00,REGULAR,434902,53661
A002,R051,02-06-00,NQR456W,BMT,12/30/2022,15:00:00,REGULAR,434957,53673
A002,R051,02-06-00,NQR456W,BMT,12/30/2022,19:00:00,REGULAR,435095,53702
A002,R051,02-06-00,NQR456W,BMT,12/30/2022,23:00:00,REGULAR,435152,53720
A006,R079,00-00-00,NQRW,BMT,12/30/2022,01:00:00,REGULAR,4850189,8537903
A006,R079,00-00-00,NQRW,BMT,12/30/2022,05:00:00,REGULAR,4850193,8537914
A006,R079,00-00-00,NQRW,BMT,12/30/2022,09:00:00,REGULAR,4850216,8538296
A006,R079,00-00-00,NQRW,BMT,12/30/2022,13:00:00,REGULAR,4850306,8539035
A006,R079,00-00-00,NQRW,BMT,12/30/2022,17:00:00,REGULAR,4850596,8539736
A006,R079,00-00-00,NQRW,BMT,12/30/2022,21:00:00,REGULAR,4850888,8540150
A006,R079,00-00-01,NQRW,BMT,12/30/2022,01:00:00,REGULAR,5876871,3671309
A006,R079,00-00-01,NQRW,BMT,12/30/2022,05:00:00,REGULAR,5876876,3671311
A006,R079,00-00-01,NQRW,BMT,12/30/2022,09:00:00,REGULAR,5876886,3671414
A006,R079,00-00-01,NQRW,BMT,12/30/2022,13:00:00,REGULAR,5876974,3671668
A006,R079,00-00-01,NQRW,BMT,12/30/2022,17:00:00,REGULAR,5877245,3671958
A006,R079,00-00-01,NQRW,BMT,12/30/2022,21:00:00,REGULAR,5877490,3672124
A006,R079,00-00-02,NQRW,BMT,12/30/2022,01:00:00,REGULAR,6755795,16724914
A006,R079,00-00-02,NQRW,BMT,12/30/2022,05:00:00,REGULAR,6755800,16724914
A006,R079,00-00-02,NQRW,BMT,12/30/2022,09:00:00,REGULAR,6755810,16724962
A006,R079,00-00-02,NQRW,BMT,12/30/2022,13:00:00,REGULAR,6755881,16725070
A006,R079,00-00-02,NQRW,BMT,12/30/2022,17:00:00,REGULAR,6756128,16725231
A006,R079,00-00-02,NQRW,BMT,12/30/2022,21:00:00,REGULAR,6756324,16725302
A006,R079,00-00-03,NQRW,BMT,12/30/2022,01:00:00,REGULAR,3451794,1269070
A006,R079,00-00-03,NQRW,BMT,12/30/2022,05:00:00,REGULAR,3451797,1269071
A006,R079,00-00-03,NQRW,BMT,12/30/2022,09:00:00,REGULAR,3451798,1269113
A006,R079,00-00-03,NQRW,BMT,12/30/2022,13:00:00,REGULAR,3451854,1269183
A006,R079,00-00-03,NQRW,BMT,12/30/2022,17:00:00,REGULAR,3452048,1269280
A006,R079,00-00-03,NQRW,BMT,12/30/2022,21:00:00,REGULAR,3452186,1269314
A006,R079,00-00-04,NQRW,BMT,12/30/2022,01:00:00,REGULAR,258020,116843
A006,R079,00-00-04,NQRW,BMT,12/30/2022,05:00:00,REGULAR,258024,116848
A006,R079,00-00-04,NQRW,BMT,12/30/2022,09:00:00,REGULAR,258030,116897
A006,R079,00-00-04,NQRW,BMT,12/30/2022,13:00:00,REGULAR,258092,116971
A006,R079,00-00-04,NQRW,BMT,12/30/2022,17:00:00,REGULAR,258330,117076
A006,R079,00-00-04,NQRW,BMT,12/30/2022,21:00:00,REGULAR,258478,117112
A006,R079,00-03-00,NQRW,BMT,12/30/2022,01:00:00,REGULAR,280339,162760
A006,R079,00-03-00,NQRW,BMT,12/30/2022,05:00:00,REGULAR,280341,162761
A006,R079,00-03-00,NQRW,BMT,12/30/2022,09:00:00,REGULAR,280347,162824
A006,R079,00-03-00,NQRW,BMT,12/30/2022,13:00:00,REGULAR,280425,162931
A006,R079,00-03-00,NQRW,BMT,12/30/2022,17:00:00,REGULAR,280724,163124
A006,R079,00-03-00,NQRW,BMT,12/30/2022,21:00:00,REGULAR,280893,163199
A006,R079,00-03-01,NQRW,BMT,12/30/2022,01:00:00,REGULAR,1021733,697395
A006,R079,00-03-01,NQRW,BMT,12/30/2022,05:00:00,REGULAR,1021734,697396
A006,R079,00-03-01,NQRW,BMT,12/30/2022,09:00:00,REGULAR,1021745,697529
A006,R079,00-03-01,NQRW,BMT,12/30/2022,13:00:00,REGULAR,1021861,697768
A006,R079,00-03-01,NQRW,BMT,12/30/2022,17:00:00,REGULAR,1022199,698025
A006,R079,00-03-01,NQRW,BMT,12/30/2022,21:00:00,REGULAR,1022427,698120
A006,R079,00-03-02,NQRW,BMT,12/30/2022,01:00:00,REGULAR,1558754,1735816
A006,R079,00-03-02,NQRW,BMT,12/30/2022,05:00:00,REGULAR,1558755,1735823
A006,R079,00-03-02,NQRW,BMT,12/30/2022,09:00:00,REGULAR,1558780,1736235
A006,R079,00-03-02,NQRW,BMT,12/30/2022,13:00:00,REGULAR,1558893,1736789
A006,R079,00-03-02,NQRW,BMT,12/30/2022,17:00:00,REGULAR,1559306,1737086
A006,R079,00-03-02,NQRW,BMT,12/30/2022,21:00:00,REGULAR,1559521,1737255
A007,R079,01-05-00,NQRW,BMT,12/30/2022,01:00:00,REGULAR,8967,0
A007,R079,01-05-00,NQRW,BMT,12/30/2022,05:00:00,REGULAR,8967,0
A007,R079,01-05-00,NQRW,BMT,12/30/2022,09:00:00,REGULAR,8968,0
A007,R079,01-05-00,NQRW,BMT,12/30/2022,13:00:00,REGULAR,8974,0
A007,R079,01-05-00,NQRW,BMT,12/30/2022,17:00:00,REGULAR,8995,0
A007,R079,01-05-00,NQRW,BMT,12/30/2022,21:00:00,REGULAR,9010,0
A007,R079,01-05-01,NQRW,BMT,12/30/2022,01:00:00,REGULAR,262144,772
A007,R079,01-05-01,NQRW,BMT,12/30/2022,05:00:00,REGULAR,262144,772
A007,R079,01-05-01,NQRW,BMT,12/30/2022,09:00:00,REGULAR,262144,772
A007,R079,01-05-01,NQRW,BMT,12/30/2022,13:00:00,REGULAR,262144,775
A007,R079,01-05-01,NQRW,BMT,12/30/2022,17:00:00,REGULAR,262144,777
A007,R079,01-05-01,NQRW,BMT,12/30/2022,21:00:00,REGULAR,262144,779
A007,R079,01-06-00,NQRW,BMT,12/30/2022,01:00:00,REGULAR,848381,865702
A007,R079,01-06-00,NQRW,BMT,12/30/2022,05:00:00,REGULAR,848382,865703
A007,R079,01-06-00,NQRW,BMT,12/30/2022,09:00:00,REGULAR,848385,865775
A007,R079,01-06-00,NQRW,BMT,12/30/2022,13:00:00,REGULAR,848418,866233
A007,R079,01-06-00,NQRW,BMT,12/30/2022,17:00:00,REGULAR,848534,866730
A007,R079,01-06-00,NQRW,BMT,12/30/2022,21:00:00,REGULAR,848653,866923
A007,R079,01-06-01,NQRW,BMT,12/30/2022,01:00:00,REGULAR,120066703,3895664
A007,R079,01-06-01,NQRW,BMT,12/30/2022,05:00:00,REGULAR,120066705,3895668
A007,R079,01-06-01,NQRW,BMT,12/30/2022,09:00:00,REGULAR,120066724,3895822
A007,R079,01-06-01,NQRW,BMT,12/30/2022,13:00:00,REGULAR,120066772,3896386
A007,R079,01-06-01,NQRW,BMT,12/30/2022,17:00:00,REGULAR,120067019,3897081
A007,R079,01-06-01,NQRW,BMT,12/30/2022,21:00:00,REGULAR,120067201,3897354
A007,R079,01-06-02,NQRW,BMT,12/30/2022,01:00:00,REGULAR,5358895,2229452
A007,R079,01-06-02,NQRW,BMT,12/30/2022,05:00:00,REGULAR,5358896,2229452
